| Movie_Id | Movie_Name                                                             | Movie_type | Release_Date | Rateing | Reviews | Movie_Runtime | Movie_Genre          | Movie_Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Metacritic        | Movie_Image                                                                                                                              | Movie_url                                            |
| 104      | The Desperate Chase                                                    | No Data    | 2024         | 5.5     | 49      | 1h 50m        | ['action', 'comedy'] | A detective partners with a con artist adept at disguises to take down a powerful criminal organization. Their unlikely alliance faces challenges as they navigate the dangerous underworld, uncovering secrets and confronting mafia's.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNmJmY2FjNzgtYTZkYS00ZjRmLWI2YTQtYmFmNzM3NjA2OGM4XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt27176023/?ref_=sr_i_104 |
| 105      | Sous écrous                                                            | No Data    | 2024         | 5.3     | 33      | 1h 51m        | ['action', 'comedy'] | No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNzdjNzBkMmItZGEyNC00YzdlLTg0MTgtODQ3Zjg5Mjk2MDcwXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg   | https://www.imdb.com/title/tt33396612/?ref_=sr_i_105 |
| 106      | Mathu Vadalara 2                                                       | No Data    | 2024         | 7.0     | 1.6K    | 2h 19m        | ['action', 'comedy'] | Babu and Yesu, former delivery agents, embark on a thrilling mission as special agents, facing extraordinary challenges with humor, surprises, and nonstop excitement.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZTU4ZWRlYTUtNGY0Yy00NDNjLThlNzQtY2M1NDNiOWM5MWJkXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt33291871/?ref_=sr_i_106 |
| 107      | Cholo Zombies                                                          | No Data    | 2024         | 4.7     | 101     | 1h 36m        | ['action', 'comedy'] | It is a crazy tale of zombie absurdity where only true Cholos turn and SoCal's legal system is a little TOO lenient. With fast paced action, gore galore, and classic cholo cameos, this is an adventure you won't want to miss.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNzkyY2U4YjktODE1Yi00OTZjLWE1ZTktYTNhODFjOTBjNjQxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt13009044/?ref_=sr_i_107 |
| 108      | Hitler                                                                 | No Data    | 2024         | 5.2     | 302     | 2h 8m         | ['action', 'comedy'] | A hero with a genuine background involved with the political murders. What is the reason behind this that's the Story.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYWYzODQ0NGUtOWNkZi00ZmU2LWJhNDAtYmZiZmExMjJmMTZjXkEyXkFqcGc@._V1_QL75_UY207_CR119,0,140,207_.jpg | https://www.imdb.com/title/tt29340778/?ref_=sr_i_108 |
| 109      | Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi                   | No Data    | 2024         | 6.8     | 14      | 1h 30m        | ['action', 'comedy'] | No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNDZmNzRhYTUtZWM5MC00ZjYzLWIyZWYtNmYxN2Y0OTliZDUwXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt33615466/?ref_=sr_i_109 |
| 110      | Paraagan                                                               | No Data    | 2024         | No Data | No Data | No Data       | ['action', 'comedy'] | A feisty but down-on-his-luck thug starts rebelling in unexpected ways after his emotionally manipulative boss keeps him trapped and working in a mechanic shop for four years.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMTU1ZWQ0NzYtYjUwMi00ZTNiLTg5ZTctYjRhYTFhMTFjMGMwXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt26753343/?ref_=sr_i_110 |
| 111      | Alligator Blood                                                        | No Data    | 2024         | 5.3     | 980     | No Data       | ['action', 'comedy'] | I am a crocodile, a bloody crocodile. A wounded person who has lost his whole life and has nothing to lose - but still he wants to take big risks.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOTEyM2Y4OGItMDFiMy00NTEzLTg5ZmYtNWYzNWYzYmMyNzkxXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg   | https://www.imdb.com/title/tt30750859/?ref_=sr_i_111 |
| 112      | Viswam                                                                 | No Data    | 2024         | 4.3     | 628     | 2h 35m        | ['action', 'comedy'] | When terrorists target a young girl who witnessed an assassination, a heroic taxi driver comes to the rescue.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZjQwOGMzMWEtOTQ4Zi00ZmI2LWFhMDktNzhjY2JjZWVhYjQ3XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt28630710/?ref_=sr_i_112 |
| 113      | Brattt                                                                 | No Data    | 2024         | 4.7     | 66      | 1h 57m        | ['action', 'comedy'] | A general's daughter lives in Tambov, in love with a street artist, whom her father disapproves of. The general has a twin brother who heads a criminal gang. Two unsuccessful robbers fail the task, which triggers a string of events that will change lives and destroy families.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNjYzNzAzNjgtNjEzMS00N2FhLTg1Y2EtYTkyZGQwNzQ2NmJmXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt14635416/?ref_=sr_i_113 |
| 114      | Nothing Unusual                                                        | No Data    | 2024         | 9.7     | 12      | 1h 32m        | ['action', 'comedy'] | In Japan, Rokurokubi are known to be like Vampires. They're known to be dangerous Yokai for committing horrible deeds. Except for one. Asumi Mayako -- Born a Rokurokubi, now lives a normal life with Karita Dere. Twelve years have passed since Asumi was found in the trash can, and things have been a little complex since Karita and her family decided to adopt Asumi. Asumi still feels worried about what would happen If people found out she's a rokurokubi. However, things get complicated when Asumi's mother, Khayme Mayako is slowly crawling back into her life. Not just that - Asumi's worries and nightmares become a reality as a reunion between Yokai and humans has begun. Experience an animated trip starring a Rokurokubi with a heart of gold.                                                                                   | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNDQ1YjNiY2UtMGJiZC00YjIzLWJkOTItYmNjZTlhNWMyM2NkXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg   | https://www.imdb.com/title/tt15127142/?ref_=sr_i_114 |
| 115      | Rocky and Bullwinkle                                                   | No Data    | 2024         | 9.7     | 11      | 1h 40m        | ['action', 'comedy'] | After the grand opening of the Museum in Frostbite Falls, Bullwinkle and Rocky somehow ended up in the village that they have never been before.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZWVhZDczZGUtNGEyNS00Y2IxLTlmNTAtZmQ5Yzg3YzhiNGUxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt35814975/?ref_=sr_i_115 |
| 116      | Adam Bol                                                               | No Data    | 2024         | No Data | No Data | No Data       | ['action', 'comedy'] | Three reckless Kazakhstani men on a trip to America experience an emergency landing in Nigeria, which sets off series of misadventures that test their life ideals, leading to profound personal lessons.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZTljZjlhZmYtOTdiZC00YzA0LTk4NTEtN2I5MzdkOTUzNzAwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt31109060/?ref_=sr_i_116 |
| 117      | Soodhu Kavvum 2: Naatum Naatu Makkalum                                 | No Data    | 2024         | 3.7     | 196     | 2h 9m         | ['action', 'comedy'] | A gang of kidnappers find they have bitten off more than they can chew.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNTc0NDA5NTAtYWJiZC00YTI4LWIwODMtYzhlYzEwMTcwMTI2XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt14527714/?ref_=sr_i_117 |
| 118      | Genis Aile 4: Cevahir & Ulvi                                           | No Data    | 2024         | 6.9     | 53      | 1h 30m        | ['action', 'comedy'] | Ulvi and Cevahir, after a period of separation, reunite due to Ulvi's involvement in a murder case. Cevahir investigates to discovers who has been killing the people in village and framing Ulvi, who is bad at butchering.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNTM0ZTAxNDEtMmNlOS00NTFmLTkyNzEtMzE0YWM0ZDU0OGY1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg   | https://www.imdb.com/title/tt32901945/?ref_=sr_i_118 |
| 119      | The Yoshi Movie                                                        | No Data    | 2024         | 7.7     | 12      | 1h 45m        | ['action', 'comedy'] | A group of intelligent dinosaurs living peacefully on their island face turmoil when a madman captures them and seizes control. After escaping, they unite to reclaim their home.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMjZlOTkwNzYtNDMxOS00ZjBhLWJkN2MtZGY2Y2Q5MzA4ZWFmXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg  | https://www.imdb.com/title/tt32536035/?ref_=sr_i_119 |
| 120      | Nanoshark                                                              | No Data    | 2024         | 5.4     | 17      | No Data       | ['action', 'comedy'] | Scientists use nanotechnology to shrink a shark, which is injected into a person to cure a rare blood disorder. When the shark does more harm than good, a team of adventurers enters the bloodstream to kill the smallest shark ever.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNGQyNGNhODctOGExMy00Y2Y0LWExODUtOTZkODY4OTJhZmE3XkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg   | https://www.imdb.com/title/tt31491803/?ref_=sr_i_120 |
| 121      | Indrani: Epic-1 Dharam vs Karam                                        | No Data    | 2024         | 7.6     | 1.1K    | 2h 37m        | ['action', 'comedy'] | In 2122 AD when world faces an imminent problem from a rogue nation, Indrani working for Indian Super Force (ISF) has to travel in time to past to find the solution for it. Story revolves around the emotional journey of Indrani.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | No Data Metascore | https://m.media-amazon.com/images/M/MV5BM2M1MjYyMWItZWQ2Ny00YWJkLTg4ZDctZjcyNTcwYTEwMmVlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt31465592/?ref_=sr_i_121 |
| 122      | Die Chaosschwestern und Pinguin Paul                                   | No Data    | 2024         | 5.7     | 66      | 1h 40m        | ['action', 'comedy'] | Four chaotic sisters have to save a dancing penguin from evil magicians who want to use him for their comeback show in Las Vegas.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNDQ3NTEzMzktNTdmOS00MWUxLTk1ODgtMWJhN2RlODQzYzNjXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt6647982/?ref_=sr_i_122  |
| 123      | Reeza GTR                                                              | No Data    | 2024         | 7.4     | 14      | 1h 31m        | ['action', 'comedy'] | Reeza, a young man with a big heart, is on the verge of achieving his dreams. When he meets the beautiful Myra hiding in the trunk of his car, his life turns chaotic and is never the same again as she is on the run from mysterious persons.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNjU2M2NlNGYtMDM1Mi00YjY4LWJhMzYtYWQyN2YwOWY3ZTg1XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt33482494/?ref_=sr_i_123 |
| 124      | Surge of Power: Where There's Smoke                                    | No Data    | 2024         | 7.3     | 12      | 1h 8m         | ['action', 'comedy'] | Off the heels of "Surge of Dawn" delving further into the devious activities of The Council, Surge has his next team up with guest superhero, The Smoke. Audiences are already familiar with Surge, Omen, MAVIS, Will E. Bee and some members of The Council from previous "Surge of Power" movies, but who is Falling Apple and what is her role in The Council's evil scheme? Struggling from a lifetime of trauma, Falling Apple has discarded her civilian life as Chai Appuru for a gritty life full of anger and resentment as she seeks to exact revenge on those she believes killed her father when she was a child, putting the entire Chicago area in peril. Is Falling Apple's agenda aligned with The Council's goals? Watch as Omen guides Surge in recruiting more "champions" to form a superhero team to face The Council's threat.          | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZGI5Yzg4YWEtNjU2Yi00YzNjLWEyODctZDRmMWFhZGVmOTA0XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt32393674/?ref_=sr_i_124 |
| 125      | Je Suis Auto                                                           | No Data    | 2024         | No Data | No Data | No Data       | ['action', 'comedy'] | An ill-tempered middle-management mafioso is set on delivering a suitcase full of money. Little does he know that taking an ontologically challenged self-driving taxi puts them on a collision course with fate-and a badly dressed pirate.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNjgwYTVkNTAtZDI2OC00ZjkzLWJkNGQtMWUyN2ZmYjQxNThiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt8476156/?ref_=sr_i_125  |
| 126      | Chhota Bheem and the Curse of Damyaan                                  | No Data    | 2024         | 4.8     | 2.3K    | 2h 25m        | ['action', 'comedy'] | Bheem and his gang travel to the past to king Damyaan and stop him from being immortal.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BM2NjMzZmNGUtZDk4NS00ZTFkLTg0NWQtOWNkMWEzMzZlM2RiXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg   | https://www.imdb.com/title/tt29114624/?ref_=sr_i_126 |
| 127      | The Heist                                                              | No Data    | 2024         | 6.9     | 2K      | 2h            | ['action', 'comedy'] | Ex-FATF agent Ananya meets a Master Con Artist Neel through the Dark Web. They form an unlikely team to conduct a heist to loot a billionaire fugitive of his ill-gotten money and disrupt his smuggling network.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNWZjNTUyMjItYjViZC00ZjVjLWEzZDEtNGEzM2QwZmIwMzg2XkEyXkFqcGc@._V1_QL75_UX140_CR0,21,140,207_.jpg  | https://www.imdb.com/title/tt23752842/?ref_=sr_i_127 |
| 128      | Chinatown Chacha                                                       | No Data    | 2024         | 5.1     | 55      | 1h 43m        | ['action', 'comedy'] | Kie, facing tragedies, prays at a shrine, discovering her family faces karma from her gangster ancestor. She meets gang members, including her great grandfather, Khung, to prevent misfortune.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZWU1MWZlMzktZmQzMC00MmU4LWI5NTYtMDNlNWI4Yzg3NmI5XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt30957694/?ref_=sr_i_128 |
| 129      | Kill the Children first                                                | No Data    | 2024         | 7.8     | 25      | 1h 46m        | ['action', 'comedy'] | A teen ballerina, her crazy in love boyfriend, and his sketchy best friend with a stolen gun, get stuck in the deepest labyrinths of crime's underworld over a misplaced cell phone that contains a compromising video.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZmFhOGJhZTgtZjgxNy00OTQ2LWFiYzMtZDAyNmZiNTQxNTYyXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt30420508/?ref_=sr_i_129 |
| 130      | Vey Dharuvey                                                           | No Data    | 2024         | 6.5     | 2.3K    | 2h 7m         | ['action', 'comedy'] | No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMjQ2OGMwOWMtMDJhNy00NjQ2LTlmODYtZjIwZDM1ZWNmZDBiXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt26745202/?ref_=sr_i_130 |
| 131      | Bernadotte, Louise & Napoleon                                          | No Data    | 2024         | No Data | No Data | 1h 14m        | ['action', 'comedy'] | Power struggle during Napoleonic war times. The Swedish King is getting old. The country needs fresh blood. Bernadotte becomes the new Crownprince of Sweden. The french criminal/spy Maurice manipulates at the Swedish court. By László                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZDUxMmI1NjItYjA5OS00NDcyLWJhY2UtZjUxNzNjMjYyZGVhXkEyXkFqcGc@._V1_QL75_UY207_CR153,0,140,207_.jpg | https://www.imdb.com/title/tt31644773/?ref_=sr_i_131 |
| 132      | Mirg                                                                   | No Data    | 2024         | 6.3     | 35      | 1h 23m        | ['action', 'comedy'] | The journey of Anil, an obedient boy, is changed after an event and bond with a colleague alters his worldview.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | No Data Metascore | https://m.media-amazon.com/images/M/MV5BYzE2MjVkZDYtNmMzMi00OWIyLWIyMmMtN2U1NTE4MjkxODVmXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg   | https://www.imdb.com/title/tt27055645/?ref_=sr_i_132 |
| 133      | Itutumba ka ng tatay ko                                                | No Data    | 2024         | 5.7     | 29      | 1h 49m        | ['action', 'comedy'] | Teteng, a single father and assistant to a film director, faces his last days due to a brain tumor. Despite his fear of confrontation, he becomes determined to protect his tomboyish daughter Tintin from bullies. Teteng, romantically interested in Tintin's teacher, discovers his illness and gets involved in a bar fight, leading to Tintin's kidnapping by a crime boss. With nothing to lose, Teteng fights relentlessly, showcasing his strength and love for his daughter until his final moments.                                                                                                                                                                                                                                                                                                                                                 | No Data Metascore | https://m.media-amazon.com/images/M/MV5BY2YzYjk1MGUtNmFjNy00NjMyLWE3YTgtM2RhMTQ4ODkxYzliXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg   | https://www.imdb.com/title/tt29942366/?ref_=sr_i_133 |
| 134      | Cholay                                                                 | No Data    | 2024         | 8.6     | 53      | 1h            | ['action', 'comedy'] | Thakur, a passionate filmmaker, had one dream: to create that could capture the spice, drama, and humor of Indian life. Inspired by the classic Indian dish Cholay. After his audition he finally found his casts Veeru,Basanti,Jay and Gabbar.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNjY5MmEyZGYtY2QyYi00ODhmLThmYTItMWI2NzRmMzhkY2NlXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg   | https://www.imdb.com/title/tt5798156/?ref_=sr_i_134  |
| 135      | Achilles Curse and the Curse of Treasure                               | No Data    | 2024         | 7.4     | 24      | 2h 5m         | ['action', 'comedy'] | In the world of Achilles Curse, a curse causes humans to live healthy incredibly long lives. However, they have one soft spot in their bodies that can bring them death. A detective with a secret ability to see other Achilles' curse attends an exclusive birthday celebration day at Laurent Museum that presents a legendary treasure showcase. The event quickly takes a turn after a group of thieves rob the treasure, leading to a murder mystery. He must solve the case with an adorable scammer.                                                                                                                                                                                                                                                                                                                                                  | No Data Metascore | https://m.media-amazon.com/images/M/MV5BMWFhZjQ1ZDgtZjIxOS00YTZiLWI3MmUtMTQxOTVlNjY0ZjU3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg   | https://www.imdb.com/title/tt33363541/?ref_=sr_i_135 |
| 136      | Raja 420                                                               | No Data    | 2024         | 6.1     | 21      | 1h 21m        | ['action', 'comedy'] | Raja, an Indian immigrant, starts a new job in USA and his first client is far from "ordinary". Chaos ensues as they unravel a dark secret and he is forced to join hands with a man named 420 (Fraudster) to escape this thrilling situation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | No Data Metascore | https://m.media-amazon.com/images/M/MV5BOGJhZTU5MWMtNzk5My00YjFmLTk2YmEtYWI5ZWNkOGRjYTgwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg   | https://www.imdb.com/title/tt31462825/?ref_=sr_i_136 |
| 137      | Spotlight International Film Festival: Best of the Festival - Volume 1 | No Data    | 2024         | 8.6     | 6       | No Data       | ['action', 'comedy'] | When Sean Astin, D. B. Sweeney, Michael Muhney and Jessica Roszko collide, you have a mix of the best short independent films since Sundance. Checkout the finest short films from drama to animation with a little bit of thriller and comedy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZTEzNzczYWUtMWVhNy00MGQzLWExZDgtZGFlZTc5MGQ2MjM1XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg   | https://www.imdb.com/title/tt15943614/?ref_=sr_i_137 |
| 138      | Opportunity                                                            | No Data    | 2024         | 9.1     | 89      | 1h 36m        | ['action', 'comedy'] | In a world where housing prices are sky-high, Patrick must choose: buy a house or live in his van forever. "Opportunity" follows his journey through crime and chaos battling Mormon gangsters with his friend Donnie.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZGY2YWZmOTctYmI4YS00ZmE5LTk4ODctNzllOWRmMmIxZjFiXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt15003944/?ref_=sr_i_138 |
| 139      | Shri Swapankumarer Badami Hyenar Kobole                                | No Data    | 2024         | 5.6     | 323     | 2h 26m        | ['action', 'comedy'] | Kolkata is at risk from Badami Hyena. Dipak Chatterjee, a forgotten detective created by Shri Swapankumar, faces a complex mission. Can he save the city and himself?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | No Data Metascore | https://m.media-amazon.com/images/M/MV5BZjYxNTk5MTItYzZjZC00YWNjLWI2MDEtN2Q4MjExZGRiOGQ4XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg   | https://www.imdb.com/title/tt29117409/?ref_=sr_i_139 |
| 140      | Pushpaka Vimanam                                                       | No Data    | 2024         | 5.6     | 16      | 2h 17m        | ['action', 'comedy'] | No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | No Data Metascore | https://m.media-amazon.com/images/M/MV5BNWE0OWY4OWItN2Q3Mi00OTNkLTg1NTQtYjNjM2IyMWE1OWY3XkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg  | https://www.imdb.com/title/tt16227370/?ref_=sr_i_140 |
